Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
8/30/2020 22:10,8/31/2020 22:05,UTC-05:00,8/30/2020 22:10,8/31/2020 7:40,100,14.8,506,569,316,117,73,63,474,0,89,FALSE
8/29/2020 21:56,8/30/2020 22:10,UTC-05:00,8/29/2020 21:56,8/30/2020 7:13,100,14.7,496,557,263,122,111,61,457,0,88,FALSE
8/28/2020 23:21,8/29/2020 21:56,UTC-05:00,8/28/2020 23:21,8/29/2020 7:50,100,14.8,461,509,196,99,166,48,457,0,91,FALSE
8/27/2020 22:59,8/28/2020 23:21,UTC-05:00,8/27/2020 22:59,8/28/2020 7:44,100,14.5,496,525,249,114,133,29,460,0,94,FALSE
8/26/2020 22:26,8/27/2020 22:59,UTC-05:00,8/26/2020 22:26,8/27/2020 7:59,100,14.7,523,572,331,64,128,49,458,0,91,FALSE
8/25/2020 22:46,8/26/2020 22:26,UTC-05:00,8/25/2020 22:46,8/26/2020 7:24,100,14.8,470,517,236,120,114,47,457,0,91,FALSE
8/24/2020 22:19,8/25/2020 22:46,UTC-05:00,8/24/2020 22:19,8/25/2020 8:24,100,15.1,564,604,257,129,178,40,460,2,93,FALSE
8/23/2020 21:48,8/24/2020 22:19,UTC-05:00,8/23/2020 21:48,8/24/2020 6:44,99,17.1,452,535,250,79,123,83,457,0,84,FALSE
8/22/2020 21:43,8/23/2020 21:48,UTC-05:00,8/22/2020 21:43,8/23/2020 7:05,100,16.2,489,561,331,42,116,72,410,2,87,FALSE
8/21/2020 22:22,8/22/2020 21:43,UTC-05:00,8/22/2020 13:01,8/22/2020 14:24,16,17.8,76,82,42,24,10,6,485,2,96,TRUE
8/21/2020 22:22,8/22/2020 21:43,UTC-05:00,8/21/2020 22:22,8/22/2020 7:02,99,14.2,484,519,217,96,171,35,490,0,93,FALSE
8/20/2020 22:47,8/21/2020 22:22,UTC-05:00,8/20/2020 22:47,8/21/2020 7:45,100,14.1,494,537,175,124,195,43,471,13,91,FALSE
8/19/2020 22:44,8/20/2020 22:47,UTC-05:00,8/19/2020 22:44,8/20/2020 7:00,94,14.6,458,495,230,94,134,37,490,13,92,FALSE
8/18/2020 23:55,8/19/2020 22:44,UTC-05:00,8/18/2020 23:55,8/19/2020 7:54,94,13.9,451,479,189,76,186,28,480,0,94,FALSE
8/17/2020 22:46,8/18/2020 23:55,UTC-05:00,8/17/2020 22:46,8/18/2020 8:16,100,14.6,533,570,180,110,243,37,486,11,93,FALSE
8/16/2020 21:58,8/17/2020 22:46,UTC-05:00,8/16/2020 21:58,8/17/2020 5:59,95,14.3,448,481,211,97,140,33,473,15,93,FALSE
8/15/2020 22:21,8/16/2020 21:58,UTC-05:00,8/15/2020 22:21,8/16/2020 6:33,93,14.4,461,492,257,72,132,31,496,6,93,FALSE
8/14/2020 22:21,8/15/2020 22:21,UTC-05:00,8/14/2020 22:21,8/15/2020 6:31,97,14.2,456,489,207,93,156,33,471,0,94,FALSE
8/13/2020 22:12,8/14/2020 22:21,UTC-05:00,8/13/2020 22:12,8/14/2020 7:13,100,13.8,493,541,184,121,188,48,469,0,92,FALSE
8/12/2020 21:51,8/13/2020 22:12,UTC-05:00,8/12/2020 21:51,8/13/2020 7:08,100,14,525,557,259,99,167,32,463,0,94,FALSE
8/11/2020 22:08,8/12/2020 21:51,UTC-05:00,8/11/2020 22:08,8/12/2020 6:58,100,13.9,486,529,232,99,155,43,457,0,91,FALSE
8/10/2020 22:36,8/11/2020 22:08,UTC-05:00,8/10/2020 22:36,8/11/2020 7:02,100,14.1,482,505,241,107,134,23,475,0,95,FALSE
8/9/2020 22:52,8/10/2020 22:36,UTC-05:00,8/9/2020 22:52,8/10/2020 7:48,100,13.9,505,535,252,106,147,30,489,9,94,FALSE
8/8/2020 23:40,8/9/2020 22:52,UTC-05:00,8/8/2020 23:40,8/9/2020 7:56,96,14.1,459,496,248,76,135,37,479,11,92,FALSE
8/7/2020 23:06,8/8/2020 23:40,UTC-05:00,8/7/2020 23:06,8/8/2020 7:20,95,14.2,459,493,230,82,147,34,481,0,93,FALSE
8/6/2020 22:19,8/7/2020 23:06,UTC-05:00,8/6/2020 22:19,8/7/2020 6:48,100,13.9,485,509,284,79,122,24,479,5,95,FALSE
8/5/2020 22:53,8/6/2020 22:19,UTC-05:00,8/5/2020 22:53,8/6/2020 6:58,98,14.1,464,485,192,93,179,21,474,2,95,FALSE
8/4/2020 22:45,8/5/2020 22:53,UTC-05:00,8/4/2020 22:45,8/5/2020 6:58,99,13.9,457,492,151,109,197,35,460,2,92,FALSE
8/3/2020 21:49,8/4/2020 22:45,UTC-05:00,8/3/2020 21:49,8/4/2020 6:42,99,13.9,505,532,139,149,217,27,512,36,94,FALSE
8/2/2020 20:49,8/3/2020 21:49,UTC-05:00,8/2/2020 20:49,8/3/2020 3:59,84,13.7,404,430,183,95,126,26,479,2,94,FALSE
8/1/2020 22:39,8/2/2020 20:49,UTC-05:00,8/1/2020 22:39,8/2/2020 7:02,99,14,477,503,180,96,201,26,480,22,94,FALSE
7/31/2020 22:29,8/1/2020 22:39,UTC-05:00,7/31/2020 22:29,8/1/2020 7:11,90,14,471,522,196,118,157,51,524,8,90,FALSE
7/30/2020 21:54,7/31/2020 22:29,UTC-05:00,7/30/2020 21:54,7/31/2020 6:18,97,14.4,469,504,246,80,143,35,484,5,93,FALSE
7/29/2020 22:04,7/30/2020 21:54,UTC-05:00,7/29/2020 22:04,7/30/2020 6:38,98,13.7,482,513,187,89,206,31,489,18,93,FALSE
7/29/2020 1:12,7/29/2020 22:04,UTC-05:00,7/29/2020 1:12,7/29/2020 7:53,92,13.8,374,400,145,89,140,26,407,0,95,FALSE
7/27/2020 22:08,7/29/2020 1:12,UTC-05:00,7/28/2020 12:35,7/28/2020 13:35,12,14.2,53,59,37,0,16,6,460,0,100,TRUE
7/27/2020 22:08,7/29/2020 1:12,UTC-05:00,7/27/2020 22:08,7/28/2020 7:20,100,13.9,514,551,179,102,233,37,475,14,93,FALSE
7/26/2020 21:49,7/27/2020 22:08,UTC-05:00,7/26/2020 21:49,7/27/2020 5:59,95,14,456,490,242,90,124,34,481,0,93,FALSE
7/25/2020 23:08,7/26/2020 21:49,UTC-05:00,7/25/2020 23:08,7/26/2020 8:30,100,14,505,561,265,92,148,56,480,14,90,FALSE
7/24/2020 23:17,7/25/2020 23:08,UTC-05:00,7/24/2020 23:17,7/25/2020 8:02,95,13.8,469,525,196,115,158,56,493,20,89,FALSE
7/23/2020 23:58,7/24/2020 23:17,UTC-05:00,7/23/2020 23:58,7/24/2020 7:48,91,13.8,434,470,226,72,136,36,479,13,92,FALSE
7/22/2020 22:54,7/23/2020 23:58,UTC-05:00,7/22/2020 22:54,7/23/2020 8:01,94,13.8,501,547,270,110,121,46,533,56,91,FALSE
7/22/2020 1:53,7/22/2020 22:54,UTC-05:00,7/22/2020 1:53,7/22/2020 8:13,75,14.1,342,380,136,71,135,38,459,0,90,FALSE
7/20/2020 21:56,7/22/2020 1:53,UTC-05:00,7/20/2020 21:56,7/21/2020 8:25,100,14.1,594,628,280,114,200,34,483,0,94,FALSE
7/19/2020 21:30,7/20/2020 21:56,UTC-05:00,7/19/2020 21:30,7/20/2020 5:59,100,14,473,509,204,142,127,36,463,0,93,FALSE
7/18/2020 22:54,7/19/2020 21:30,UTC-05:00,7/18/2020 22:54,7/19/2020 7:44,100,14.9,494,530,272,100,122,36,387,0,93,FALSE
7/17/2020 22:59,7/18/2020 22:54,UTC-05:00,7/18/2020 18:00,7/18/2020 19:52,20,15.7,98,112,59,22,17,14,483,0,89,TRUE
7/17/2020 22:59,7/18/2020 22:54,UTC-05:00,7/17/2020 22:59,7/18/2020 7:53,100,14.2,504,534,282,117,105,30,473,0,94,FALSE
7/16/2020 22:39,7/17/2020 22:59,UTC-05:00,7/16/2020 22:39,7/17/2020 7:18,100,14.2,486,518,202,132,152,32,476,0,93,FALSE
7/15/2020 23:09,7/16/2020 22:39,UTC-05:00,7/15/2020 23:09,7/16/2020 7:39,100,14.1,461,510,211,110,140,49,463,2,90,FALSE
7/14/2020 23:00,7/15/2020 23:09,UTC-05:00,7/14/2020 23:00,7/15/2020 7:55,99,13.9,489,535,175,126,188,46,496,22,91,FALSE
7/13/2020 23:22,7/14/2020 23:00,UTC-05:00,7/13/2020 23:22,7/14/2020 7:20,90,14.2,443,478,245,83,115,35,495,0,93,FALSE
7/12/2020 22:45,7/13/2020 23:22,UTC-05:00,7/12/2020 22:45,7/13/2020 7:05,100,14.2,463,500,230,103,130,37,458,0,92,FALSE
7/11/2020 22:29,7/12/2020 22:45,UTC-05:00,7/11/2020 22:29,7/12/2020 8:40,100,14.2,527,611,220,130,177,84,519,5,86,FALSE
7/10/2020 23:40,7/11/2020 22:29,UTC-05:00,7/10/2020 23:40,7/11/2020 7:40,98,14.2,450,479,161,103,186,29,459,0,93,FALSE
7/9/2020 22:04,7/10/2020 23:40,UTC-05:00,7/9/2020 22:04,7/10/2020 6:59,100,13.9,508,534,228,129,151,26,487,20,95,FALSE
7/8/2020 22:59,7/9/2020 22:04,UTC-05:00,7/8/2020 22:59,7/9/2020 7:35,93,14.2,463,516,157,116,190,53,500,29,89,FALSE
7/8/2020 0:34,7/8/2020 22:59,UTC-05:00,7/8/2020 0:34,7/8/2020 8:13,90,13.8,425,459,162,79,184,34,473,0,92,FALSE
7/6/2020 22:19,7/8/2020 0:34,UTC-05:00,7/6/2020 22:19,7/7/2020 7:16,100,14,500,536,218,101,181,36,473,0,93,FALSE
7/5/2020 22:47,7/6/2020 22:19,UTC-05:00,7/5/2020 22:47,7/6/2020 7:25,100,13.8,487,518,238,69,180,31,415,72,94,FALSE
7/4/2020 22:47,7/5/2020 22:47,UTC-05:00,7/5/2020 7:08,7/5/2020 9:12,22,13.9,117,124,56,0,61,7,530,72,99,TRUE
7/4/2020 22:47,7/5/2020 22:47,UTC-05:00,7/4/2020 22:47,7/5/2020 4:29,68,13.9,334,342,141,73,120,8,493,0,98,FALSE
7/3/2020 23:02,7/4/2020 22:47,UTC-05:00,7/3/2020 23:02,7/4/2020 8:05,100,14.1,489,543,231,92,166,54,483,11,90,FALSE
7/2/2020 22:17,7/3/2020 23:02,UTC-05:00,7/2/2020 22:17,7/3/2020 8:02,96,13.8,534,585,189,116,229,51,554,56,91,FALSE
7/2/2020 0:10,7/2/2020 22:17,UTC-05:00,7/2/2020 0:10,7/2/2020 7:16,75,14.1,392,426,139,69,184,34,526,63,92,FALSE
7/1/2020 2:50,7/2/2020 0:10,UTC-05:00,7/1/2020 2:50,7/1/2020 9:00,72,14.2,344,370,123,76,145,26,478,0,92,FALSE
6/29/2020 21:17,7/1/2020 2:50,UTC-05:00,6/29/2020 21:17,6/30/2020 8:13,100,14.3,609,655,245,146,218,46,494,31,92,FALSE
6/28/2020 21:57,6/29/2020 21:17,UTC-05:00,6/28/2020 21:57,6/29/2020 5:47,86,14.4,412,470,171,99,142,58,480,18,88,FALSE
6/27/2020 23:05,6/28/2020 21:57,UTC-05:00,6/27/2020 23:05,6/28/2020 7:29,92,14.2,481,503,158,108,215,22,522,36,95,FALSE
6/26/2020 23:45,6/27/2020 23:05,UTC-05:00,6/26/2020 23:45,6/27/2020 7:17,84,14.2,403,452,241,68,94,49,482,13,89,FALSE
6/25/2020 22:46,6/26/2020 23:45,UTC-05:00,6/25/2020 22:46,6/26/2020 7:07,94,13.9,468,501,129,108,231,33,498,11,93,FALSE
6/24/2020 22:28,6/25/2020 22:46,UTC-05:00,6/24/2020 22:28,6/25/2020 6:54,96,14.3,468,506,159,110,199,38,489,29,93,FALSE
6/23/2020 23:56,6/24/2020 22:28,UTC-05:00,6/23/2020 23:56,6/24/2020 7:13,87,13.7,414,437,188,81,145,23,475,0,94,FALSE
6/22/2020 21:07,6/23/2020 23:56,UTC-05:00,6/22/2020 21:07,6/23/2020 7:22,100,14.4,559,615,210,132,217,56,471,2,90,FALSE
6/21/2020 21:56,6/22/2020 21:07,UTC-05:00,6/21/2020 21:56,6/22/2020 6:25,99,14.3,478,508,160,105,213,30,485,22,94,FALSE
6/21/2020 0:30,6/21/2020 21:56,UTC-05:00,6/21/2020 0:30,6/21/2020 7:59,90,14.3,427,448,188,80,159,21,475,0,95,FALSE
6/19/2020 22:35,6/21/2020 0:30,UTC-05:00,6/19/2020 22:35,6/20/2020 7:26,100,14.3,500,531,221,117,162,31,489,0,94,FALSE
6/18/2020 22:58,6/19/2020 22:35,UTC-05:00,6/18/2020 22:58,6/19/2020 8:05,100,14,514,547,177,103,234,33,509,14,93,FALSE
6/17/2020 22:21,6/18/2020 22:58,UTC-05:00,6/17/2020 22:21,6/18/2020 6:51,95,14.4,476,510,188,111,177,34,503,31,93,FALSE
6/17/2020 0:32,6/17/2020 22:21,UTC-05:00,6/17/2020 0:32,6/17/2020 7:50,86,14.2,398,437,134,107,157,39,465,0,93,FALSE
6/15/2020 22:18,6/17/2020 0:32,UTC-05:00,6/15/2020 22:18,6/16/2020 8:10,100,14.6,552,592,250,137,165,40,500,22,94,FALSE
6/14/2020 21:53,6/15/2020 22:18,UTC-05:00,6/14/2020 21:53,6/15/2020 6:01,90,14.4,425,487,182,78,165,62,473,15,89,FALSE
6/13/2020 23:35,6/14/2020 21:53,UTC-05:00,6/13/2020 23:35,6/14/2020 7:42,93,13.9,438,486,199,76,163,48,473,2,91,FALSE
6/12/2020 22:05,6/13/2020 23:35,UTC-05:00,6/12/2020 22:05,6/13/2020 7:02,99,14.2,470,537,258,94,118,67,476,0,89,FALSE
6/11/2020 22:14,6/12/2020 22:05,UTC-05:00,6/11/2020 22:14,6/12/2020 7:24,100,14,497,550,216,125,156,53,499,11,90,FALSE
6/10/2020 22:00,6/11/2020 22:14,UTC-05:00,6/10/2020 22:00,6/11/2020 7:14,96,14,510,554,198,121,191,44,531,68,93,FALSE
6/9/2020 23:43,6/10/2020 22:00,UTC-05:00,6/9/2020 23:43,6/10/2020 6:11,70,14,331,387,142,78,111,56,476,0,87,FALSE
6/8/2020 22:39,6/9/2020 23:43,UTC-05:00,6/8/2020 22:39,6/9/2020 7:17,100,13.9,483,517,144,124,215,34,465,0,94,FALSE
6/7/2020 21:52,6/8/2020 22:39,UTC-05:00,6/7/2020 21:52,6/8/2020 7:39,100,14.3,541,587,192,121,228,46,468,0,93,FALSE
6/6/2020 21:46,6/7/2020 21:52,UTC-05:00,6/6/2020 21:46,6/7/2020 7:38,100,14.3,561,592,195,142,224,31,494,8,95,FALSE
6/5/2020 22:48,6/6/2020 21:46,UTC-05:00,6/5/2020 22:48,6/6/2020 7:40,97,13.9,493,532,229,84,180,39,507,14,93,FALSE
6/4/2020 22:16,6/5/2020 22:48,UTC-05:00,6/4/2020 22:16,6/5/2020 7:01,95,14.5,483,524,175,107,201,41,509,11,93,FALSE
6/3/2020 22:18,6/4/2020 22:16,UTC-05:00,6/3/2020 22:18,6/4/2020 6:37,96,14.1,460,499,140,110,210,39,479,0,92,FALSE
6/2/2020 21:44,6/3/2020 22:18,UTC-05:00,6/2/2020 21:44,6/3/2020 7:02,100,14.2,498,557,180,127,191,59,485,14,90,FALSE
6/1/2020 21:35,6/2/2020 21:44,UTC-05:00,6/1/2020 21:35,6/2/2020 6:03,95,14.2,460,507,212,91,157,47,485,0,91,FALSE
5/31/2020 21:36,6/1/2020 21:35,UTC-05:00,5/31/2020 21:36,6/1/2020 5:59,100,14.5,474,503,204,94,176,29,475,0,94,FALSE
5/30/2020 21:38,5/31/2020 21:36,UTC-05:00,5/30/2020 21:38,5/31/2020 6:50,100,14.2,505,551,183,106,216,46,471,11,91,FALSE
5/29/2020 21:54,5/30/2020 21:38,UTC-05:00,5/29/2020 21:54,5/30/2020 5:59,96,14.3,454,484,192,103,159,30,472,11,93,FALSE
5/28/2020 22:26,5/29/2020 21:54,UTC-05:00,5/28/2020 22:26,5/29/2020 6:52,96,14,466,505,181,115,170,39,485,0,92,FALSE
5/27/2020 22:01,5/28/2020 22:26,UTC-05:00,5/27/2020 22:01,5/28/2020 7:25,100,14.2,528,564,230,126,172,36,479,0,93,FALSE
5/26/2020 21:55,5/27/2020 22:01,UTC-05:00,5/26/2020 21:55,5/27/2020 6:22,100,14.2,494,506,205,117,172,12,403,58,97,FALSE
5/25/2020 18:19,5/26/2020 21:55,UTC-05:00,5/26/2020 4:35,5/26/2020 7:00,26,14.4,133,144,57,24,52,11,516,58,92,TRUE
5/25/2020 18:19,5/26/2020 21:55,UTC-05:00,5/25/2020 18:19,5/26/2020 0:44,80,14.5,330,385,215,58,57,55,412,129,85,FALSE
5/24/2020 19:42,5/25/2020 18:19,UTC-05:00,5/25/2020 6:00,5/25/2020 9:25,33,14.7,194,204,114,29,51,10,587,129,94,TRUE
5/24/2020 19:42,5/25/2020 18:19,UTC-05:00,5/24/2020 19:42,5/24/2020 23:29,43,14.5,199,227,100,43,56,28,464,5,87,FALSE
5/23/2020 21:28,5/24/2020 19:42,UTC-05:00,5/23/2020 21:28,5/24/2020 7:34,98,14.3,567,606,219,130,218,39,576,88,93,FALSE
5/22/2020 20:18,5/23/2020 21:28,UTC-05:00,5/22/2020 20:18,5/23/2020 1:20,61,14.1,288,302,111,71,106,14,472,0,95,FALSE
5/21/2020 22:27,5/22/2020 20:18,UTC-05:00,5/21/2020 22:27,5/22/2020 7:48,100,14.5,526,561,196,124,206,35,484,8,94,FALSE
5/20/2020 23:09,5/21/2020 22:27,UTC-05:00,5/20/2020 23:09,5/21/2020 8:13,97,14.4,478,544,238,93,147,66,490,0,87,FALSE
5/19/2020 21:53,5/20/2020 23:09,UTC-05:00,5/19/2020 21:53,5/20/2020 7:23,100,14.5,534,570,201,94,239,36,383,170,93,FALSE
5/18/2020 22:14,5/19/2020 21:53,UTC-05:00,5/19/2020 5:00,5/19/2020 9:40,39,14.5,246,279,127,63,56,33,628,170,88,TRUE
5/18/2020 22:14,5/19/2020 21:53,UTC-05:00,5/18/2020 22:14,5/19/2020 0:34,25,14.4,137,139,97,19,21,2,554,70,98,FALSE
5/18/2020 2:54,5/18/2020 22:14,UTC-05:00,5/18/2020 2:54,5/18/2020 9:22,69,14,349,387,94,99,156,38,507,15,90,FALSE
5/16/2020 21:40,5/18/2020 2:54,UTC-05:00,5/16/2020 21:40,5/17/2020 6:04,93,14.2,481,504,213,94,174,23,517,31,95,FALSE
5/15/2020 21:24,5/16/2020 21:40,UTC-05:00,5/15/2020 21:24,5/16/2020 4:59,86,14.1,426,455,203,90,133,29,494,36,93,FALSE
5/15/2020 1:00,5/15/2020 21:24,UTC-05:00,5/15/2020 1:00,5/15/2020 8:00,84,14.5,388,420,209,73,106,32,465,0,92,FALSE
5/13/2020 22:21,5/15/2020 1:00,UTC-05:00,5/13/2020 22:21,5/14/2020 6:55,100,14.4,490,513,232,68,190,23,471,11,95,FALSE
5/12/2020 23:09,5/13/2020 22:21,UTC-05:00,5/12/2020 23:09,5/13/2020 7:24,95,13.9,456,495,131,98,227,39,482,0,92,FALSE
5/11/2020 22:03,5/12/2020 23:09,UTC-05:00,5/11/2020 22:03,5/12/2020 7:24,100,13.9,534,561,263,99,172,27,498,29,95,FALSE
5/10/2020 22:34,5/11/2020 22:03,UTC-05:00,5/10/2020 22:34,5/11/2020 5:28,87,13.8,400,414,122,97,181,14,461,0,96,FALSE
5/9/2020 22:01,5/10/2020 22:34,UTC-05:00,5/9/2020 22:01,5/10/2020 7:00,100,13.9,499,538,138,106,255,39,477,0,92,FALSE
5/8/2020 21:58,5/9/2020 22:01,UTC-05:00,5/8/2020 21:58,5/9/2020 7:41,100,14.1,543,582,261,92,190,39,475,0,93,FALSE
5/7/2020 22:37,5/8/2020 21:58,UTC-05:00,5/7/2020 22:37,5/8/2020 7:15,100,13.9,502,518,163,117,222,16,466,0,96,FALSE
5/6/2020 21:37,5/7/2020 22:37,UTC-05:00,5/6/2020 21:37,5/7/2020 7:14,100,14.4,525,577,217,103,205,52,476,11,91,FALSE
5/5/2020 22:25,5/6/2020 21:37,UTC-05:00,5/5/2020 22:25,5/6/2020 6:56,95,14.3,471,511,207,91,173,40,493,0,92,FALSE
5/4/2020 22:06,5/5/2020 22:25,UTC-05:00,5/4/2020 22:06,5/5/2020 6:39,100,13.8,473,513,205,63,205,40,473,0,92,FALSE
5/3/2020 21:41,5/4/2020 22:06,UTC-05:00,5/3/2020 21:41,5/4/2020 6:50,100,14.1,509,549,229,109,171,40,487,0,92,FALSE
5/2/2020 22:26,5/3/2020 21:41,UTC-05:00,5/2/2020 22:26,5/3/2020 7:28,100,14.6,497,542,146,121,230,45,471,11,91,FALSE
5/1/2020 22:24,5/2/2020 22:26,UTC-05:00,5/1/2020 22:24,5/2/2020 6:58,96,14.5,470,513,209,93,168,43,490,0,91,FALSE
4/30/2020 22:36,5/1/2020 22:24,UTC-05:00,4/30/2020 22:36,5/1/2020 7:24,100,14.5,484,528,197,109,178,44,486,0,91,FALSE
4/29/2020 22:39,4/30/2020 22:36,UTC-05:00,4/29/2020 22:39,4/30/2020 7:38,100,14.6,489,538,146,121,222,49,475,93,90,FALSE
4/29/2020 3:40,4/29/2020 22:39,UTC-05:00,4/29/2020 10:31,4/29/2020 12:12,18,14.3,99,100,72,4,23,1,550,93,98,TRUE
4/29/2020 3:40,4/29/2020 22:39,UTC-05:00,4/29/2020 3:40,4/29/2020 8:20,59,14.2,246,280,124,53,69,34,416,0,87,FALSE
4/27/2020 21:41,4/29/2020 3:40,UTC-05:00,4/28/2020 13:22,4/28/2020 15:05,16,14.7,76,102,37,20,19,26,491,0,88,TRUE
4/27/2020 21:41,4/29/2020 3:40,UTC-05:00,4/27/2020 21:41,4/28/2020 6:43,100,14.5,502,541,218,109,175,39,483,8,92,FALSE
4/26/2020 21:28,4/27/2020 21:41,UTC-05:00,4/26/2020 21:28,4/27/2020 5:29,97,14.6,445,481,213,77,155,36,458,0,92,FALSE
4/25/2020 22:35,4/26/2020 21:28,UTC-05:00,4/25/2020 22:35,4/26/2020 7:30,100,15.2,507,535,218,102,187,28,461,2,94,FALSE
4/24/2020 23:01,4/25/2020 22:35,UTC-05:00,4/24/2020 23:01,4/25/2020 7:50,99,14.7,474,528,146,120,208,54,481,0,89,FALSE
4/23/2020 22:27,4/24/2020 23:01,UTC-05:00,4/23/2020 22:27,4/24/2020 7:23,100,14.9,455,535,223,96,136,80,429,13,85,FALSE
4/22/2020 22:31,4/23/2020 22:27,UTC-05:00,4/23/2020 12:30,4/23/2020 13:20,10,15.3,46,49,43,0,3,3,471,13,100,TRUE
4/22/2020 22:31,4/23/2020 22:27,UTC-05:00,4/22/2020 22:31,4/23/2020 7:08,94,14.8,458,516,156,109,193,58,484,0,88,FALSE
4/21/2020 22:17,4/22/2020 22:31,UTC-05:00,4/21/2020 22:17,4/22/2020 7:23,100,14.6,500,546,239,76,185,46,492,0,91,FALSE
4/20/2020 21:37,4/21/2020 22:17,UTC-05:00,4/20/2020 21:37,4/21/2020 6:52,100,14.7,493,555,217,96,180,62,488,0,88,FALSE
4/19/2020 23:05,4/20/2020 21:37,UTC-05:00,4/19/2020 23:05,4/20/2020 8:19,100,14.5,505,554,167,132,206,49,478,0,91,FALSE
4/18/2020 21:38,4/19/2020 23:05,UTC-05:00,4/18/2020 21:38,4/19/2020 7:26,100,14.9,558,588,221,123,214,30,505,47,94,FALSE
4/17/2020 21:42,4/18/2020 21:38,UTC-05:00,4/17/2020 21:42,4/18/2020 5:29,79,14.5,430,467,157,98,175,37,541,45,92,FALSE
4/17/2020 1:15,4/17/2020 21:42,UTC-05:00,4/17/2020 1:15,4/17/2020 8:32,80,14.1,396,437,122,82,192,41,498,5,90,FALSE
4/15/2020 21:59,4/17/2020 1:15,UTC-05:00,4/15/2020 21:59,4/16/2020 6:45,98,13.9,503,526,294,109,100,23,515,34,95,FALSE
4/15/2020 0:11,4/15/2020 21:59,UTC-05:00,4/15/2020 0:11,4/15/2020 7:20,85,13.9,402,428,154,93,155,26,475,9,93,FALSE
4/13/2020 22:28,4/15/2020 0:11,UTC-05:00,4/13/2020 22:28,4/14/2020 6:44,96,14.5,477,496,136,107,234,19,497,5,96,FALSE
4/12/2020 20:58,4/13/2020 22:28,UTC-05:00,4/12/2020 20:58,4/13/2020 5:24,98,14.2,449,505,154,106,189,56,460,0,88,FALSE
4/11/2020 22:57,4/12/2020 20:58,UTC-05:00,4/11/2020 22:57,4/12/2020 7:41,100,14.4,484,524,170,105,209,40,481,0,92,FALSE
4/10/2020 22:06,4/11/2020 22:57,UTC-05:00,4/10/2020 22:06,4/11/2020 7:16,100,14.4,517,550,171,119,227,33,491,0,94,FALSE
4/9/2020 21:53,4/10/2020 22:06,UTC-05:00,4/9/2020 21:53,4/10/2020 7:35,100,14.6,502,582,204,125,173,80,462,0,86,FALSE
4/8/2020 22:11,4/9/2020 21:53,UTC-05:00,4/8/2020 22:11,4/9/2020 7:00,100,14.5,492,529,202,106,184,37,489,0,92,FALSE
4/7/2020 22:07,4/8/2020 22:11,UTC-05:00,4/7/2020 22:07,4/8/2020 6:56,100,14.6,504,529,202,108,194,25,504,18,95,FALSE
4/6/2020 22:48,4/7/2020 22:07,UTC-05:00,4/6/2020 22:48,4/7/2020 7:29,92,14.7,465,521,193,115,157,56,506,0,89,FALSE
4/5/2020 22:27,4/6/2020 22:48,UTC-05:00,4/5/2020 22:27,4/6/2020 6:53,100,14.4,480,506,200,123,157,26,471,0,94,FALSE
4/4/2020 22:01,4/5/2020 22:27,UTC-05:00,4/4/2020 22:01,4/5/2020 6:58,100,14.4,493,537,168,108,217,44,479,0,91,FALSE
4/3/2020 22:13,4/4/2020 22:01,UTC-05:00,4/3/2020 22:13,4/4/2020 6:45,100,14.3,488,512,192,82,214,24,485,23,95,FALSE
4/2/2020 22:40,4/3/2020 22:13,UTC-05:00,4/2/2020 22:40,4/3/2020 7:05,92,14.4,474,505,129,94,251,31,513,38,93,FALSE
4/1/2020 23:03,4/2/2020 22:40,UTC-05:00,4/1/2020 23:03,4/2/2020 7:01,83,14.6,439,478,195,94,150,39,527,38,92,FALSE
3/31/2020 22:41,4/1/2020 23:03,UTC-05:00,3/31/2020 22:41,4/1/2020 6:03,83,14.5,413,441,228,100,85,28,496,15,93,FALSE
3/30/2020 0:27,3/30/2020 22:35,UTC-05:00,3/30/2020 22:35,3/31/2020 6:28,93,14.4,450,473,194,99,157,23,483,11,95,FALSE
3/30/2020 0:27,3/30/2020 22:35,UTC-05:00,3/30/2020 0:27,3/30/2020 8:29,96,14.1,458,481,179,97,182,23,476,0,95,FALSE
3/28/2020 21:47,3/30/2020 0:27,UTC-05:00,3/28/2020 21:47,3/29/2020 7:26,100,14.6,548,579,248,144,156,31,482,25,94,FALSE
3/27/2020 22:06,3/28/2020 21:47,UTC-05:00,3/27/2020 22:06,3/28/2020 5:39,89,14,418,453,246,69,103,35,471,0,92,FALSE
3/26/2020 22:16,3/27/2020 22:06,UTC-05:00,3/26/2020 22:16,3/27/2020 8:01,100,14.6,555,585,341,96,118,30,500,0,94,FALSE
3/25/2020 22:00,3/26/2020 22:16,UTC-05:00,3/25/2020 22:00,3/26/2020 8:00,100,14.9,544,599,139,126,279,55,477,14,90,FALSE
3/24/2020 23:56,3/25/2020 22:00,UTC-05:00,3/24/2020 23:56,3/25/2020 9:03,95,14.8,460,546,154,117,189,86,484,0,84,FALSE
3/23/2020 22:05,3/24/2020 23:56,UTC-05:00,3/23/2020 22:05,3/24/2020 7:34,100,14.9,551,568,259,124,168,17,529,66,97,FALSE
